2024-01-03 19:10:57,231 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-01-03 19:10:58,142 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-03 19:10:59,934 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 19:11:00,310 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-03 19:11:00,515 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@420068a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79d8075c, org.springframework.security.web.context.SecurityContextHolderFilter@467e7793, org.springframework.security.web.header.HeaderWriterFilter@5a644d75, org.springframework.web.filter.CorsFilter@4d4337f9, org.springframework.security.web.authentication.logout.LogoutFilter@5ce1ec7, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@55e02661, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@625c9248, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3c1ef806, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1e6f7c25, org.springframework.security.web.access.ExceptionTranslationFilter@69862a1, org.springframework.security.web.access.intercept.AuthorizationFilter@3b6c55b6]
2024-01-03 19:11:00,661 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-03 19:11:00,673 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-01-03 19:11:00,679 [main] INFO  c.Revature.RevPay.RevPayApplication - Started RevPayApplication in 5.839 seconds (process running for 6.326)
2024-01-03 19:11:19,610 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-03 19:11:19,612 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-03 19:11:20,163 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
